,Date,Year,Type,Country,Area,Location,Activity,Sex,Age,Injury,Fatal (Y/N),Time,Species,Case Number.1,Case Number.2,Month
14,2018-05-01,2018.0,Provoked,AUSTRALIA,Westerm Australia,Dugong Bay,Feeding sharks,F,34,Shallow lacerations to finger PROVOKED INCIDENT,N,,"Tawny nurse shark, 2m",,,May
15,2018-05-12,2018.0,Unprovoked,SOUTH AFRICA,Eastern Cape Province,"Nahoon Beach, East London",Surfing,M,,"Minor injury, marks on board",N,11h00,,2018-05-12,2018-05-12,May
16,2018-05-09,2018.0,Questionable,AUSTRALIA,New South Wales,"Sharpes Beach, Ballina",Surfing,M,,"No injury, surfboard damaged",N,10h30,Shark involvement not confirmed,2018-05-09,2018-05-09,May
17,,2018.0,Unprovoked,THAILAND,Hua Hin,Sai Noi Beach,Swimming,M,,Minor injury to ankle,N,,,,,
18,2018-04-28,2018.0,Unprovoked,COSTA RICA,Cocos Island,Manuelita,Scuba diving,M,30,"No injury, shark bit scuba gear",N,10h40,Tiger shark,,,April
19,2018-04-28,2018.0,Unprovoked,AUSTRALIA,Western Australia,Gearys Beach,Surfing,M,,"No injury, knocked off board by shark",N,16h50,,,,April
20,2018-04-25,2018.0,Questionable,AUSTRALIA,New South Wales,Lennox Head,Surfing,M,,No injury,N,07h00,Questionable,,,April
21,2018-04-25,2018.0,Unprovoked,AUSTRALIA,Western Australia,"Surfers Point, Prevelly",Surfing,M,60,"No injury, knocked off board by shark",N,09h30,3 m shark,,,April
22,2018-04-24,2018.0,Unprovoked,AUSTRALIA,Western Australia,"South Point, Gracetown",Surfing,M,,"No injury, shark struck his leg",N,Afternoon,"White shark, 3.5 m",2018-04-24,2018-04-24,April
23,2018-04-23,2018.0,Unprovoked,MALDIVES,Alifu Alifu Atoll,Madoogali,Fishing,M,32,5-inch cut to hand,N,21h50,Tiger shark,2018-04-23,2018-04-23,April
24,2018-04-22,2018.0,Unprovoked,SOUTH AFRICA,Western Cape Province,"Robberg Beach, Plettenberg Bay",Paddle-skiing,M,33,"No injury, shark bit hole in ski",N,09h40,"White shark, 2.5 m",2018-04-22,2018-04-22,April
25,2018-04-19,2018.0,Unprovoked,USA,Hawaii,"Shipwrecks Beach, Keoneloa Bay, Kauai",Body boarding,M,29,Lacerations to right lower leg,N,,6' shark,2018-04-19,2018-04-19,April
26,2018-04-15,2018.0,Unprovoked,THAILAND,Hua Hin,Sai Noi Beach,Swimming,M,54,Lacerations to foot and ankle,N,,Juvenile bull shark,,,April
27,2018-04-15,2018.0,Unprovoked,BRAZIL,Pernambuco,Piedade,Swimming,M,34,"Multiple severe injuries to arms and leg, leg subsequently surgically amputated",,,,,,April
28,2018-04-15,2018.0,Unprovoked,AUSTRALIA,Western Australia,"Lefthanders, Margaret River Area",Surfing,M,41,Laceration to right thigh,N,,,,,April
29,2018-04-15,2018.0,Unprovoked,AUSTRALIA,Western Australia,"Cobblestones, Margaret River Area",Surfing,M,37,Lacerations to legs,N,08h00,,,,April
30,2018-04-14,2018.0,Unprovoked,BAHAMAS,New Providence,Nirvana Beach,Surfing,M,,No Injury. Shark swam away with the surf board,N,09h30,Tiger shark,2018-04-14,2018-04-14,April
31,,2018.0,Invalid,BRAZIL,Alagoas,"Praia de Sauaçuhy, Maceió",Fishing,M,56,Injury to ankle from marine animal trapped in weir PROVOKED INCIDENT. ,N,,Shark involvement not confirmed,,,
32,2018-04-09,2018.0,Unprovoked,NEW CALEDONIA,,"Magenta Beach, Noumea",Windsurfing,,,"No injury, shark bit board",N,17h00,2 m shark,2018-04-09,2018-04-09,April
33,2018-04-05,2018.0,Unprovoked,BAHAMAS,,Bimini,Swimming,M,12,"2 puncture wounds to left foot, abrasion to right foot",N,18h00,Bull shark,2018-04-05,2018-04-05,April
34,2018-04-03,2018.0,Unprovoked,SOUTH AFRICA,Eastern Cape Province,St. Francis Bay,Surfing,M,19,Lacerations to left knee & lower leg,N,15h00,White shark,2018-04-02,2018-04-03,April
35,2018-03-31,2018.0,Unprovoked,USA,Hawaii,Kukio Beach,Stand-Up Paddleboarding,M,25,Injuries to right leg & hand,N,09h30,"Tiger shark, 12'",2018-03-31,2018-03-31,March
36,2018-03-14,2018.0,Unprovoked,AUSTRALIA,Western Australia,Waterman's Bay,Wading,M,10,Minor injuries to legs,N,17h35,Wobbegong shark,2018-03-14,2018-03-14,March
37,2018-03-09,2018.0,Unprovoked,AUSTRALIA,Victoria,Lorne,Swimming,M,69,"No injury, said to have been charged by sharks several times",N,15h30,3.5 m shark,,,March
38,2018-03-09,2018.0,Unprovoked,AUSTRALIA,Victoria,Winkipop,Surfing,M,18,"Minor injury, ankle grazed",N,07h30,1.8 m shark,,,March
39,2018-02-24,2018.0,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Durban,Scuba Diving,M,38, The shark & man simply collided; neither were injured,N,,Blacktip shark,2018-02-24,2018-02-24,February
40,2018-02-23,2018.0,Unprovoked,AUSTRALIA,New South Wales,"Little Congwong Beach, La Perouse ",Swimming,F,55,Laceratons to right leg & foot,N,"19h00, Dusk","Juvenile white shark,  2.7 to 3.2 m",2018-02-23,2018-02-23,February
41,2018-02-18,2018.0,Provoked,AUSTRALIA,Victoria,Westernport Bay,Kayak fishing for sharks,M,34,"Shark rammed kayak, no injury to occupant  PROVOKED INCIDENT",N,Night,,2018-02-17,2018-02-17,February
42,2018-02-15,2018.0,Unprovoked,AUSTRALIA,New South Wales,"Surf Beach, Kiama",Walking,M,35,Puncture wounds to leff foot & lower leg,N,16h00,"Bull shark, 2 m",2018-02-15,2018-02-15,February
43,2018-02-14,2018.0,Invalid,AUSTRALIA,Queensland,Mooloolaba Beach,Swimming,F,,"Collision / No injury, no attack",N,18h00,Possibly a wobbegong,2018-02-14,2018-02-14,February
44,2018-02-11,2018.0,Invalid,BRAZIL,"Boi Island, Victoria",Espirito Santo,Cleaning fish,F,46,Lacerations to 4 toes of right foot,N,,"Injury believed caused by an eel, not a shark",2018-02-11,2018-02-11,February
45,2018-02-03,2018.0,Unprovoked,ECUADOR,Galapagos Islands,Santa Fe Island,Snorkeling,M,45,Injuries to right foot,N,,Galapagos shark?,2018-02-03,2018-02-03,February
46,2018-02-01,2018.0,Invalid,AUSTRALIA,Western Australia,"Avalon Point, Manurah",Spearfishing,M,14,"No injury no attack. This is considerd an ""encounter""",N,,2m shark,2018-02-01,2018-02-01,February
47,2018-01-28,2018.0,Unprovoked,AUSTRALIA,Western Australia,Cone Bay,,M,18,Injuries to right leg,N,08h00,Bull shark,2018-01-28,2018-01-28,January
48,2018-01-21,2018.0,Unprovoked,NEW CALEDONIA,,Nouville,Spearfishing,M,40s,Injuries to abdomen and arm,N,15h30,"Bull shark, 3 m ",2018-01-21,2018-01-21,January
49,2018-01-14,2018.0,Unprovoked,AUSTRALIA,Queensland,Lizard Island,Diving,M,,Severe laceration to left forearm,N,15h01,Grey reef shark. 2 m,2018-01-14,2018-01-14,January
50,2018-01-13,2018.0,Unprovoked,AUSTRALIA,New South Wales,Martin Islet,Free diving,M,28,"No injury, shark took his swimfin",N,,"White shark, 3.5 m",2018-01-13,2018-01-13,January
51,2018-01-12,2018.0,Unprovoked,BRAZIL,Fernando de Noronha,Conceicao Beach,Surfing,M,20,Minor injury to left forearm,N,Late afternoon,small shark,2018-01-12,2018-01-12,January
52,2018-01-05,2018.0,Unprovoked,AUSTRALIA,Western Australia,"South Point, Gracetown",Surfing,M,,Foot bitten,N,,Wobbegong shark?,2018-01-05,2018-01-05,January
53,2017-12-31,2017.0,Unprovoked,USA,Hawaii,"Hultin's Beach, Oahu",Surfing,F,54,Severe lacerations to left thigh & knee,N,18h00,Tiger shark,2017-12-31,2017-12-31,December
54,2017-12-30,2017.0,Unprovoked,USA,California,"Drakes Estero, Point Reyes, Marin County",Surfing,F,35,Foot bitten,N,12h00,,2017-12-30,2017-12-30,December
55,2017-12-21,2017.0,Provoked,MALAYSIA,Sepang,Bagan Lalang Beach,Fishing / Wading,M,24,"Minor injury to thigh, PROVOKED INCIDENT",N,,Juvenile nurse shark,2017-12-21,2017-12-21,December
56,2017-12-09,2017.0,Unprovoked,BAHAMAS,,,Snorkeling,F,25,Minor injury to arm,N,,Nurse shark. 5',2017-12-09,2017-12-09,December
57,2017-11-30,2017.0,Unprovoked,COSTA RICA,Cocos Island,Manuelita,Scuba Diving,M,26,Serious injury to leg,N,,"Tiger shark, female",,,November
58,2017-11-30,2017.0,Unprovoked,COSTA RICA,Cocos Island,Manuelita,Scuba diving,F,49,FATAL,Y,,"Tiger shark, female",,,November
59,,2017.0,Sea Disaster,LIBYA,, Gars Garabulli,2 boats capsized,,,FATAL,Y,,Some drowned but other may have been killed by blue sharks,,,
60,2017-11-24,2017.0,Unprovoked,USA,California,"Stillwater Cove, Monterey County",Spearfishing,M,25,Right leg bitten,N,13h45,"White shark, 4.6 m",2017-11-24,2017-11-24,November
61,2017-11-18,2017.0,Unprovoked,USA,Florida,"Floridana Beach, Brevard County",Surfing,F,14,Heel bitten,N,Late afternoon,,2017-11-18,2017-11-18,November
62,,2017.0,Unprovoked,,,,Surfing,M,24,Puncture wounds to feet,N,,,,,
63,2017-11-13,2017.0,Unprovoked,AUSTRALIA,New South Wales,Avoca Beach,Surfing,M,25,Puncture wounds to left shoulder,N,16h00,2 m shark,2017-11-13,2017-11-13,November
64,2017-11-04,2017.0,Unprovoked,CUBA,Holquin Province,Guardalavaca Beach,Night bathing,M,22,FATAL,Y,23h30,Tiger shark,2017-11-04,2017-11-04,November
65,,2017.0,Unprovoked,AUSTRALIA,Queensland,Magnetic Island,Snorkeling,M,7,Calf injured,N,,Cookiecutter shark,,,
66,2017-10-28,2017.0,Unprovoked,AUSTRALIA,New South Wales,Birubi Point,Surfing,M,31,Minor injury to foot,N,09h00,"Wobbegong shark, 1 m",2017-10-28,2017-10-28,October
67,2017-10-26,2017.0,Unprovoked,USA,Hawaii,"White Plains Beach, Oahu",Stand-Up Paddleboarding,M,,No injury but shark bit SUP,N,15h00,,2017-10-26,2017-10-26,October
68,2017-10-23,2017.0,Unprovoked,MAURITIUS,Pamplemousses ,Le Goulet,Swimming,M,,Minor injury to foot,N,Afternoon,,,,October
69,2017-10-23,2017.0,Unprovoked,USA,Florida,"Juno Beach, Palm Beach County",Surfing ,M,17,Lacerations to left foot,N,17h00,,,,October
70,2017-10-23,2017.0,Unprovoked,USA,Florida,"Ocean Reef Park, Singer Island, Palm Beach County",Swimming,F,60,Severe lacerations to left hand & wrist,N,08h00,,,,October
71,2017-10-22,2017.0,Unprovoked,AUSTRALIA,South Australia,Normanville,Kayaking / Fishing,F,15,Minor injuries,N,Afternoon,"White shark, 4.5 m",2017-10-22,2017-10-22,October
72,2017-10-21,2017.0,Unprovoked,NEW ZEALAND,North Island,"Off Tapuna Beach, Auckand",Kayaking,M,,"No injury, shark shook kayak x3 ",N,09h00,2 m shark,2017-10-21,2017-10-21,October
73,2017-10-18,2017.0,Unprovoked,USA,Florida,"Lantana Beach, Palm Beach County",Swimming,M,,Puncture wounds & lacerations to foot,N,14h30,"Spinner shark, 4 to 5 feet",2017-10-18,2017-10-18,October
74,2017-10-09,2017.0,Unprovoked,USA,Hawaii,"Davidsons Beach, Kekaha, Kauai",Surfing,M,54,Lacerations to left hand,N,18h30,"Tiger shark, 8 to 10 feet",2017-10-09,2017-10-09,October
75,2017-10-05,2017.0,Unprovoked,USA,Hawaii,"Kamaole Beach Park, Maui ",Snorkeling,F,40,Abrasions,N,12h30,8' shark,2017-10-05,2017-10-05,October
76,2017-10-01,2017.0,Invalid,SOUTH AFRICA,Western Cape Province,Dyer Island,Scuba Diving,M,31,FATAL,,,Death may have been due to drowning,2017-10-01,2017-10-01,October
77,2017-09-25,2017.0,Unprovoked,USA,Florida,"Hanna Park, Jacksonville, Duval County",Surfing,M,,Lacerations to lower left leg and foot,N,Morning,5' shark,,,September
78,2017-09-25,2017.0,Unprovoked,AUSTRALIA,Western Australia,Gracetown,Surfing,M,,"No injury, board damaged by shark",N,18h00,"White shark, 3.5 m",,,September
79,2017-09-24,2017.0,Invalid,USA,New York,Rockaway,Surfing,M,33,"Lacerations to right ankle, foot & toe",,15h30,Questionable,,,September
80,2017-09-24,2017.0,Unprovoked,USA,Florida,Fort Worth,Surfing,M,,Laceration to upper arm,N,14h00,4' to 5' shark,,,September
81,2017-09-20,2017.0,Unprovoked,USA,Florida,Palm Beach County,Surfing,M,,Minor lacerations to sole of left foot,N,Morning,,2017-09-20,2017-09-20,September
82,2017-09-16,2017.0,Unprovoked,SPAIN,Canary Islands,Gran Canaria ,Body surfing,M,13,Lacerations to right foot,N,,"Porbeagle, 1.5 m",,,September
83,2017-09-16,2017.0,Unprovoked,USA,Florida,"Ponce Inlet, Volusia County",Surfing,M,28,Lacerations to left foot,N,16h30,,,,September
84,2017-09-15,2017.0,Invalid,SOUTH AFRICA,Western Cape Province,Hawston,Scuba Diving,M,25,"FATAL, but death was probably due to drowning",,Afternoon,,,,September
85,2017-09-15,2017.0,,SAMOA, Upolu Island,Nofoalii,Fishing,M,,Injuries to hands and legs,N,Night,,,,September
86,2017-09-01,2017.0,Boating,AUSTRALIA,Westerm Australia,Esperance,Fishing,,,"sharks rammed boats, no injury to occupants",N,,"White shark, 3.5m",2017-09-14,2017-09-14,September
87,2017-09-13,2017.0,Unprovoked,USA,Florida,"Ponce Inlet, Volusia County",Surfing,M,18,Lacerations to left foot,N,18h45,5' to 6' shark,2017-09-13,2017-09-13,September
88,2017-09-10,2017.0,Unprovoked,AUSTRALIA,Westerm Australia,Sam's Creek area,Swimming,M,,Minor injuries,N,15h00,,,,September
89,2017-09-10,2017.0,Unprovoked,AUSTRALIA,New South Wales,Iluka Beach,Surfing,M,35,Minor lacerations to right hip,N,06h00,"White shark, 3 to 3.5m ",,,September
90,,2017.0,Unprovoked,SOLOMON ISLANDS,,Owarigi Island,Spearfishing,M,,Foot bitten,N,,,,,
91,2017-09-03,2017.0,Unprovoked,SOUTH AFRICA,Western Cape Province,Dyer Island,"Swimming, poaching abalone",M,,FATAL,Y,Morning,,,,September
92,2017-09-03,2017.0,Unprovoked,JAPAN,Shizuoka Prefecture,Iwata City,Surfing,M,42,Injury to ankle & feet,N,10h00,,,,September
93,2017-09-02,2017.0,Unprovoked,USA,Florida,"Marathon, Monroe County",Swimming,M,,Lacerations to abdomen,N,,Nurse shark,,,September
94,2017-09-02,2017.0,Unprovoked,USA,Texas,"South Padre Island, Cameron County",Swimming,F,,Lacerations to foot,N,,,,,September
95,2017-09-02,2017.0,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,17,Minor injury to right hand,N,10h44,,,,September
96,2017-08-29,2017.0,Unprovoked,AUSTRALIA,Victoria,Cathedral Rock,Surfing,M,37,"No injury, board bitten",N,10h30,"White shark, 3 m",2017-08-29,2017-08-29,August
97,2017-08-27,2017.0,Unprovoked,USA,Florida,Bathtub Beach ,Wading,F,3,Leg injured,N,13h19,,2017-08-27,2017-08-27,August
98,2017-08-26,2017.0,Invalid,SPAIN,Castellón,Grao de Moncofa,Swimming,F,11,Lacerations to left foot,,Midday,Shark involvement questionable,,,August
99,2017-08-26,2017.0,Unprovoked,NEW ZEALAND,North Island,Off Tutukaka,Canoeing,M,,"No injury, shark bit canoe",N,,,,,August
100,2017-08-23,2017.0,Unprovoked,USA,Massachusetts,"Marconi Beach, Wellfleet, Barnstable County",SUP,M,69,Not injured by shark but board bitten,N,10h00,"White shark, 5' to 7'",2017-08-23,2017-08-23,August
101,2017-08-18,2017.0,Unprovoked,BAHAMAS,,,Spearfishing,M,,Hand injured,N,15h00,5' shark,2017-08-18,2017-08-18,August
102,2017-08-10,2017.0,Unprovoked,USA,South Carolina,"Sea Pines Resort, Hilton Head Island, Beaufort County",Swimming,M,13,Minor cuts to sole & toes of left foot,N,13h30,Possibly a juvenile blacktip shark,2017-08-10,2017-08-10,August
103,2017-08-05,2017.0,Unprovoked,EGYPT,Red Sea Protectorate,Marsa Ghalib,Snorkeling,F,20,Bite to right leg/hip,N,,"Oceanic whitetip shark, 1.8 to 2 m",2017-08-05,2017-08-05,August
104,2017-08-03,2017.0,Provoked,USA,Massachusetts,"Menauhant Beach, Falmouth,
Barnstable County",Fishing,M,34,Foot bitten by landed shark PROVOKED INCIDENT,N,23h30,4' shark,2017-08-03,2017-08-03,August
105,2017-08-01,2017.0,Boating,USA,California,"Between Pescadero Point & Bean Hollow Beach, San Mateo County",Kayaking / Fishing,M,,"No injury, bow of kayak bitten",N,10h45,"White shark, 10'",2017-08-01,2017-08-01,August
106,2017-07-31,2017.0,Unprovoked,USA,Florida,"Jacksonvlle, Duval County",Skimboarding,M,15,Lacerations to lower leg,N,18h30,,2017-07-31,2017-07-31,July
107,2017-07-29,2017.0,Invalid,USA,South Carolina,"Hilton Head Island, Beaufort County",Swimming,M,10,Abrasions and cuts to sole of foot,,15h00,A small shark,,,July
108,2017-07-29,2017.0,Unprovoked,USA,South Carolina,"DeBordieu Colony, Georgetown County",,F,12,Bite to left thigh / minor injury,N,Afternoon,,,,July
109,2017-07-27,2017.0,Unprovoked,BAHAMAS,New Providence District,Rose Island,Snorkeling,F,,Foot & ankle injured,N,,,2017-07-27,2017-07-27,July
110,,2017.0,Unprovoked,BAHAMAS,40 miles off Grand Bahama Island,,Spearfishing,M,,Severe lacerations to left hand,N,,,,,
111,2017-07-24,2017.0,Unprovoked,"ST HELENA, British overseas territory",Ascension Island,English Bay,Surfing,M,37,Torso bitten,N,17h00,,2017-07-24,2017-07-24,July
112,2017-07-23,2017.0,Unprovoked,USA,New Jersey,Ventnor,,F,,Minor injury to hand,N,,Sandtiger shark  2',,,July
113,2017-07-23,2017.0,Unprovoked,SPAIN,Majorca,"Estanys Beach, Colonia de Sant",Swimming,F,,Abrasion to arm from shark's rough skin,N,Afternoon,Blue shark 6',,,July
114,2017-07-22,2017.0,Unprovoked,USA,Florida,"Snipes Point, Monroe County",,F,40,Foot bitten,N,12h30,"""A small shark""",2017-07-22,2017-07-22,July
115,2017-07-20,2017.0,Invalid,USA,South Carolina,"Hilton Head Island, Beaufort County",Swimming,F,8,Foot injured,,,Shark involvement not confirmed,,,July
116,2017-07-20,2017.0,Boating,USA,California,"Stearns Wharf, Santa Barbara",Kayaking,M,40,"No injury, kayak bitten",N,11h20,"White shark, 11' to 13'",,,July
117,2017-07-20,2017.0,Unprovoked,USA,California,"Seal Rock, Goleta Beach, Santa Barbara",SUP,M,50,"No injury, shark bit paddleboard",N,07h45,"White shark, 8' to 10'",,,July
118,2017-07-14,2017.0,Unprovoked,USA,Washington,"South Beach, Westport, Grays Harbor County",Surfing,M,,Pulled off board by shark but no injury,N,18h30,"White shark, 9'",,,July
119,2017-07-14,2017.0,Unprovoked,AUSTRALIA,Western Australia,Floreat Beach,Surfing,M,,"Minor injury, grazed by shark",N,11h45,,,,July
120,2017-07-11,2017.0,Boating,USA,California,"Santa Cruz, Santa Cruz County",Kayaking,M,,"No injury, kayak bitten",N,11h00,White shark,2017-07-11,2017-07-11,July
121,2017-07-09,2017.0,Unprovoked,USA,Florida,"Haulover Beach, Miami-Dade County",Swimming,M,46,Lower legs bitten,N,15h30,"Bull shark, 4' to 5'",2017-07-09,2017-07-09,July
122,,2017.0,Provoked,MEXICO,Tabasco,"Sánchez Magallanes, Cárdenas",Fishing,M,32,Hand bitten by hooked shark PROVOKED INCIDENT,N,,"Tiger shark, 100 kg",,,
123,2017-07-07,2017.0,Unprovoked,SOUTH AFRICA,Eastern Cape Province,"Nahoon Reef, East London",Surfing,F,13,"No injury, shark bit surfboard",N,15h00,"White shark, 2.5 m",2017-07-07,2017-07-07,July
124,2017-07-02,2017.0,Invalid,COMOROS,Anjouan,Moya,Fishing,,,"Skull found in shark, a probable drowning & scavenging",,,Shark involvement prior to death not confirmed,2017-07-02,2017-07-02,July
125,2017-06-29,2017.0,Invalid,USA,South Carolina,Wrightsville Beach,Fishing,M,,"Arm injured by hook, not by a shark",,19h30,No shark invovlement ,2017-06-29,2017-06-29,June
126,2017-06-21,2017.0,Unprovoked,USA,South Carolina,"South Forest Beach, Hilton Head Island, Beaufort County",Swimming,F,16,Left foot bitten,N,,,2017-06-21,2017-06-21,June
127,2017-06-19,2017.0,Unprovoked,USA,Florida,"Singer Island, Palm Beach County",Surfing,M,,1 to 2-inch laceration behind knee,N,Morning,,2017-06-19,2017-06-19,June
128,2017-06-18,2017.0,Unprovoked,USA,South Carolina,"Burkes Beach, Hilton Head, Beaufort County",Swimming,F,14,Leg bitten,N,,"Bull shark, 4' to 5'",,,June
129,2017-06-18,2017.0,Unprovoked,REUNION,,Roches Noire,Body boarding,M,34,"No injury, shark bit surfboard ",N,10h00,"Bull shark, 2m",,,June
130,2017-06-17,2017.0,Unprovoked,SPAIN,Ibiza Island,Playa den Bossa,Swimming,M,82,2-inch laceration to hand,N,12h00,,2017-06-17,2017-06-17,June
131,2017-06-05,2017.0,Unprovoked,FRENCH POLYNESIA,Marquesas,"Atuona Bay, Hiva Oa Island",Surfing,M,,Injuries to hand and wrist,N,,,2017-06-05,2017-06-05,June
132,,2017.0,Unprovoked,BAHAMAS,,,Feeding sharks,F,,Fingernail pulled off ,N,,,,,
133,2017-06-11,2017.0,Unprovoked,AUSTRALIA,Western Australia,"Point Casuarina, Bunbury",Body boarding,M,48,"No injury, board bitten",N,08h30,"White shark, 4 m",2017-06-11,2017-06-11,June
134,2017-06-10,2017.0,Unprovoked,AUSTRALIA,Victoria,"Flinders, Mornington Penisula",Surfing,F,,"No injury, knocked off board",N,15h45,Seven-gill shark,,,June
135,2017-06-10,2017.0,Unprovoked,USA,Florida,"Ponce Inlet, Volusia County",Surfing,M,19,Laceration to left foot,N,10h00,,,,June
136,,2017.0,Unprovoked,UNITED KINGDOM,South Devon,Bantham Beach,Surfing ,M,30,"Bruise to leg, cuts to hand sustained when he hit the shark",N,,"3m shark, probably a smooth hound",,,
137,2017-06-04,2017.0,Unprovoked,USA,Florida,"Middle Sambo Reef off Boca Chica, Monroe County",Spearfishing,M,,Laceration to shin,N,,8' shark,2017-06-04,2017-06-04,June
138,2017-06-02,2017.0,Unprovoked,BAHAMAS,New Providence ,Athol Island,Snorkeling,F,32,Right forearm severed ,N,Shortly before 12h00,Tiger shark,2017-06-02,2017-06-02,June
139,2017-05-30,2017.0,Provoked,USA,South Carolina,"Awendaw, Charleston County",Touching a shark,F,20,Right hand bitten by hooked shark PROVOKED INCIDENT,N,,3' shark,2017-05-30,2017-05-30,May
140,2017-05-28,2017.0,Unprovoked,USA,Florida,Off Jupiter,Feeding sharks,M,,Lacerations to right arm,N,Morning,Tiger shark,2017-05-28,2017-05-28,May
141,2017-05-27,2017.0,Invalid,AUSTRALIA,New South Wales,Evans Head,Fishing ,M,73,Abrasion to right forearm from pectoral fin of a shark that leapt into his boat,N,,,2017-05-27,2017-05-27,May
142,2017-05-12,2017.0,Unprovoked,UNITED ARAB EMIRATES,"Sharjah, ",Khor Fakkan,Spearfishing,M,41,Right leg severely bitten,N,Morning,,2017-05-12,2017-05-12,May
143,,2017.0,Provoked,AUSTRALIA,Queensland,Weipa,Attempting to lasso a shark,M,29,Thigh nipped PROVOKED INCIDENT,N,,9' shark,,,
144,2017-05-05,2017.0,Unprovoked,MEXICO,Baja California Sur,"Los Arbolitos, Cabo Pulmo",Snorkeling,M,33,FATAL,Y,17h00,,2017-06-06,2017-05-06,May
145,2017-05-03,2017.0,Invalid,USA,California,"Sunset Beach, Orange County",Surfing,F,18,"Laceration to thigh, likely caused by surfboard fin",,14h30,Shark involvement highly doubtful,2017-05-03,2017-05-03,May
146,2017-04-29,2017.0,Unprovoked,USA,California,"San Onofre, San Diego County ",Swimming,F,,Major injury to posterior thigh,N,17h34,,,,April
147,2017-04-29,2017.0,Unprovoked,SOUTH AFRICA,Western Cape Province,"Keurbooms, Plettenberg Bay",Surfing,M,14,Minor injury to right calf,N,17h10,,,,April
148,2017-04-29,2017.0,Unprovoked,USA,South Carolina,"Folly Beach, Charleston County",Surfing,F,33,Left foot bitten,N,11h00,,,,April
149,2017-04-29,2017.0,Unprovoked,REUNION,Saint-Leu,Pointe au Sal,Body boarding,M,28,FATAL,Y,11h15,,,,April
150,2017-04-27,2017.0,Unprovoked,NEW ZEALAND,South Island,"Porpoise Bay, Catlins",Body boarding,F,20s,Puncture wounds & laceration above knee,N,14h00,,2017-04-27,2017-04-27,April
151,2017-04-26,2017.0,Invalid,USA,Florida,,Photo shoot,F,,Alleged laceration to left ankle,,,No shark invovlement - it ws a publicity stunt,2017-04-26,2017-04-26,April
152,2017-04-22,2017.0,Unprovoked,"ST HELENA, British overseas territory",Ascension Island,English Bay,Snorkeling,F,40,Calf & foot bitten,N,16h00,,2017-04-22,2017-04-22,April
153,2017-04-20,2017.0,Invalid,USA,South Carolina,Georgetown County,Swimming,M,,Laceration & puncture wounds to left foot,,08h50,Shark involvement not confirmed,2017-04-20,2017-04-20,April
154,2017-04-17,2017.0,Unprovoked,USA,Florida,"Daytona Beach, Volusia County",,,,Minor bite to the foot,N,Afternoon,,,,April
